samp,cmpd_name,area,cmpd_type,samp_type,sal,conc
240108_Smp_30ppt_A,Acetylcholine,86852,S,Smp,30,0
240108_Smp_30ppt_B,Acetylcholine,34801,S,Smp,30,0
240108_Smp_30ppt_Blk,Acetylcholine,48714,S,Smp,30,0
240108_Smp_35ppt_A,Acetylcholine,38008,S,Smp,35,0
240108_Smp_35ppt_B,Acetylcholine,283634,S,Smp,35,0
240108_Smp_35ppt_Blk,Acetylcholine,144935,S,Smp,35,0
240108_Smp_40ppt_A,Acetylcholine,455656,S,Smp,40,0
240108_Smp_40ppt_B,Acetylcholine,225886,S,Smp,40,0
240108_Smp_40ppt_Blk,Acetylcholine,419712,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,Acetylcholine,603158,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,Acetylcholine,2090873,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Acetylcholine,2069312,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Acetylcholine,107180448,S,Std,NA,4
240108_Poo_Syn_Full1,Adenine,813509888,S,Poo,NA,0
240108_Poo_Syn_Full2,Adenine,744935168,S,Poo,NA,0
240108_Poo_Syn_Full3,Adenine,736903744,S,Poo,NA,0
240108_Poo_Syn_Half1,Adenine,377075616,S,Poo,NA,0
240108_Poo_Syn_Half2,Adenine,425680192,S,Poo,NA,0
240108_Poo_Syn_Half3,Adenine,453787456,S,Poo,NA,0
240108_Smp_25ppt_A,Adenine,771065984,S,Smp,25,0
240108_Smp_25ppt_B,Adenine,777113472,S,Smp,25,0
240108_Smp_25ppt_Blk,Adenine,22251176,S,Smp,25,0
240108_Smp_30ppt_A,Adenine,629348928,S,Smp,30,0
240108_Smp_30ppt_B,Adenine,951642560,S,Smp,30,0
240108_Smp_30ppt_Blk,Adenine,37914852,S,Smp,30,0
240108_Smp_35ppt_A,Adenine,858716480,S,Smp,35,0
240108_Smp_35ppt_B,Adenine,615526272,S,Smp,35,0
240108_Smp_35ppt_Blk,Adenine,15885830,S,Smp,35,0
240108_Smp_40ppt_A,Adenine,596593600,S,Smp,40,0
240108_Smp_40ppt_B,Adenine,883766208,S,Smp,40,0
