cmpd_name,samp,nm,sal
Butyrylcarnitine,240108_Smp_35ppt_B,608112235477222.9,35
Butyrylcarnitine,240108_Smp_35ppt_Blk,111751523413507.14,35
Butyrylcarnitine,240108_Smp_40ppt_A,288228740351320.06,40
Butyrylcarnitine,240108_Smp_40ppt_B,286079795191077.9,40
Butyrylcarnitine,240108_Smp_40ppt_Blk,640773040924999.75,40
Carnitine,240108_Poo_Syn_Full1,-109649698613658.83,NA
Carnitine,240108_Poo_Syn_Full2,-514989504977443.56,NA
Carnitine,240108_Poo_Syn_Full3,-384848078124499.44,NA
Carnitine,240108_Poo_Syn_Half1,-153026123945312.3,NA
Carnitine,240108_Poo_Syn_Half2,-225520456022702.53,NA
Carnitine,240108_Poo_Syn_Half3,-165778469254437.22,NA
Carnitine,240108_Smp_25ppt_A,-131339394382260.8,25
Carnitine,240108_Smp_25ppt_B,-159274297179524.97,25
Carnitine,240108_Smp_25ppt_Blk,-874630712302804,25
Carnitine,240108_Smp_30ppt_A,-882437489181660.25,30
Carnitine,240108_Smp_30ppt_B,-400196193031519.5,30
Carnitine,240108_Smp_30ppt_Blk,-263627734839675.66,30
Carnitine,240108_Smp_35ppt_A,-732546330886895.6,35
Carnitine,240108_Smp_35ppt_B,-738592692304356.75,35
Carnitine,240108_Smp_35ppt_Blk,-52830504699199,35
Carnitine,240108_Smp_40ppt_A,-388388528925826.25,40
Carnitine,240108_Smp_40ppt_B,-4763894259096.756,40
Carnitine,240108_Smp_40ppt_Blk,-71514035251130.98,40
Carnosine,240108_Poo_Syn_Full1,136804195562733.17,NA
Carnosine,240108_Poo_Syn_Full2,NA,NA
Carnosine,240108_Poo_Syn_Full3,NA,NA
Carnosine,240108_Poo_Syn_Half1,NA,NA
Carnosine,240108_Poo_Syn_Half2,NA,NA
Carnosine,240108_Poo_Syn_Half3,92631425431611.6,NA
Carnosine,240108_Smp_25ppt_A,NA,25
Carnosine,240108_Smp_25ppt_B,34951335132380.05,25
Carnosine,240108_Smp_25ppt_Blk,NA,25
Carnosine,240108_Smp_30ppt_A,NA,30
Carnosine,240108_Smp_30ppt_B,NA,30
Carnosine,240108_Smp_30ppt_Blk,NA,30
Carnosine,240108_Smp_35ppt_A,NA,35
Carnosine,240108_Smp_35ppt_B,NA,35
Carnosine,240108_Smp_35ppt_Blk,89843651236767.11,35
Carnosine,240108_Smp_40ppt_A,NA,40
Carnosine,240108_Smp_40ppt_B,119391937036237.72,40
Carnosine,240108_Smp_40ppt_Blk,25667982475405.027,40
Chitobiose,240108_Poo_Syn_Full1,-3421732167064587.5,NA
Chitobiose,240108_Poo_Syn_Full2,-460810627420368.3,NA
Chitobiose,240108_Poo_Syn_Full3,-995521042893260.5,NA
Chitobiose,240108_Poo_Syn_Half1,-2817455685749208,NA
Chitobiose,240108_Poo_Syn_Half2,-319838150582596.56,NA
Chitobiose,240108_Poo_Syn_Half3,-2298490935235501.5,NA
Chitobiose,240108_Smp_25ppt_A,-1910861332551912,25
Chitobiose,240108_Smp_25ppt_B,-1962535988655949.8,25
Chitobiose,240108_Smp_25ppt_Blk,-0,25
Chitobiose,240108_Smp_30ppt_A,-1512474254815329,30
Chitobiose,240108_Smp_30ppt_B,-1914296882800703.8,30
Chitobiose,240108_Smp_30ppt_Blk,-0,30
Chitobiose,240108_Smp_35ppt_A,-7648794846494714,35
Chitobiose,240108_Smp_35ppt_B,-4319730939008544,35
Chitobiose,240108_Smp_35ppt_Blk,-0,35
Chitobiose,240108_Smp_40ppt_A,-5303944827391938,40
Chitobiose,240108_Smp_40ppt_B,-5628617152928077,40
Chitobiose,240108_Smp_40ppt_Blk,-0,40
Choline,240108_Poo_Syn_Full1,-3951729142268933,NA
Choline,240108_Poo_Syn_Full2,-2837488047174488.5,NA
Choline,240108_Poo_Syn_Full3,-1390956974027213,NA
Choline,240108_Poo_Syn_Half1,-5789607465249251,NA
Choline,240108_Poo_Syn_Half2,-2127757985495774.8,NA
Choline,240108_Poo_Syn_Half3,-7798480246598790,NA
Choline,240108_Smp_25ppt_A,-1487584288028847.2,25
Choline,240108_Smp_25ppt_B,-589465322986296.5,25
Choline,240108_Smp_25ppt_Blk,-12740110312998092,25
Choline,240108_Smp_30ppt_A,-12348264367425570,30
Choline,240108_Smp_30ppt_B,-11596388804531926,30
Choline,240108_Smp_30ppt_Blk,-3785815610447982.5,30
Choline,240108_Smp_35ppt_A,NA,35
Choline,240108_Smp_35ppt_B,-94990357808587630,35
Choline,240108_Smp_35ppt_Blk,-823736837098937.6,35
Choline,240108_Smp_40ppt_A,-6205115288358901,40
Choline,240108_Smp_40ppt_B,-11912023249925748,40
Choline,240108_Smp_40ppt_Blk,-4318113856293344,40
Choline sulfate,240108_Poo_Syn_Full1,NA,NA
Choline sulfate,240108_Poo_Syn_Full2,NA,NA
Choline sulfate,240108_Poo_Syn_Full3,NA,NA
Choline sulfate,240108_Poo_Syn_Half1,NA,NA
Choline sulfate,240108_Poo_Syn_Half2,NA,NA
Choline sulfate,240108_Poo_Syn_Half3,NA,NA
Choline sulfate,240108_Smp_25ppt_A,NA,25
Choline sulfate,240108_Smp_25ppt_B,13782699578021.912,25
Choline sulfate,240108_Smp_25ppt_Blk,67800334113305.17,25
Choline sulfate,240108_Smp_30ppt_A,NA,30
Choline sulfate,240108_Smp_30ppt_B,NA,30
Choline sulfate,240108_Smp_30ppt_Blk,NA,30
Choline sulfate,240108_Smp_35ppt_A,NA,35
Choline sulfate,240108_Smp_35ppt_B,NA,35
Choline sulfate,240108_Smp_35ppt_Blk,NA,35
Choline sulfate,240108_Smp_40ppt_A,NA,40
Choline sulfate,240108_Smp_40ppt_B,NA,40
Choline sulfate,240108_Smp_40ppt_Blk,NA,40
Citrulline,240108_Poo_Syn_Full1,24427959837862264,NA
Citrulline,240108_Poo_Syn_Full2,25254752847427728,NA
Citrulline,240108_Poo_Syn_Full3,23958949923547424,NA
Citrulline,240108_Poo_Syn_Half1,22105306848123684,NA
Citrulline,240108_Poo_Syn_Half2,22704359718294608,NA
Citrulline,240108_Poo_Syn_Half3,21455128659451788,NA
Citrulline,240108_Smp_25ppt_A,14118709350138956,25
Citrulline,240108_Smp_25ppt_B,17393170293237860,25
Citrulline,240108_Smp_25ppt_Blk,342888462217274.06,25
Citrulline,240108_Smp_30ppt_A,23410893970563344,30
Citrulline,240108_Smp_30ppt_B,27505751505821648,30
Citrulline,240108_Smp_30ppt_Blk,523428877433510.5,30
Citrulline,240108_Smp_35ppt_A,33053059215919640,35
Citrulline,240108_Smp_35ppt_B,30968525137389684,35
Citrulline,240108_Smp_35ppt_Blk,314360647955822.6,35
Citrulline,240108_Smp_40ppt_A,44819613463776170,40
Citrulline,240108_Smp_40ppt_B,38164954273070010,40
Citrulline,240108_Smp_40ppt_Blk,892558689536671.75,40
Creatine,240108_Poo_Syn_Full1,11477258851823874,NA
Creatine,240108_Poo_Syn_Full2,12141046701870758,NA
Creatine,240108_Poo_Syn_Full3,11102772182425252,NA
Creatine,240108_Poo_Syn_Half1,10812261717936268,NA
Creatine,240108_Poo_Syn_Half2,10225343187548112,NA
Creatine,240108_Poo_Syn_Half3,13581807059092516,NA
Creatine,240108_Smp_25ppt_A,2551161098482423,25
Creatine,240108_Smp_25ppt_B,1300815373907613.2,25
Creatine,240108_Smp_25ppt_Blk,7109181141834858,25
Creatine,240108_Smp_30ppt_A,23410034692017740,30
Creatine,240108_Smp_30ppt_B,10438674258415118,30
Creatine,240108_Smp_30ppt_Blk,3362222850916192,30
Creatine,240108_Smp_35ppt_A,17334857124926860,35
Creatine,240108_Smp_35ppt_B,26246139313932352,35
Creatine,240108_Smp_35ppt_Blk,4274725595702434.5,35
Creatine,240108_Smp_40ppt_A,3642836478464069,40
Creatine,240108_Smp_40ppt_B,18053185931820692,40
Creatine,240108_Smp_40ppt_Blk,1063269883150601.5,40
Creatinine,240108_Poo_Syn_Full1,8311129688502892,NA
Creatinine,240108_Poo_Syn_Full2,16994725891975188,NA
Creatinine,240108_Poo_Syn_Full3,11573156186755586,NA
Creatinine,240108_Poo_Syn_Half1,23025166852292612,NA
Creatinine,240108_Poo_Syn_Half2,11578497454799962,NA
Creatinine,240108_Poo_Syn_Half3,21497622192741032,NA
Creatinine,240108_Smp_25ppt_A,7217531325129671,25
Creatinine,240108_Smp_25ppt_B,1571336482591578,25
