samp,cmpd_name,bmis_area,sal,conc
240108_Std_4uMStdsMix2InSynMatrix_2,Acetylcholine,NA,NA,4
240108_Poo_Syn_Full1,Adenine,678038517.6322814,NA,0
240108_Poo_Syn_Full2,Adenine,677568576.817556,NA,0
240108_Poo_Syn_Full3,Adenine,696030105.8448923,NA,0
240108_Poo_Syn_Half1,Adenine,679890897.9900813,NA,0
240108_Poo_Syn_Half2,Adenine,723877435.4086378,NA,0
240108_Poo_Syn_Half3,Adenine,757424644.8053378,NA,0
240108_Smp_25ppt_A,Adenine,630318137.9693828,25,0
240108_Smp_25ppt_B,Adenine,661156320.8915485,25,0
240108_Smp_25ppt_Blk,Adenine,20943674.853568427,25,0
240108_Smp_30ppt_A,Adenine,550549747.7228696,30,0
240108_Smp_30ppt_B,Adenine,872004046.8879861,30,0
240108_Smp_30ppt_Blk,Adenine,32706551.95764433,30,0
240108_Smp_35ppt_A,Adenine,1070430506.2245553,35,0
240108_Smp_35ppt_B,Adenine,767838675.4323372,35,0
240108_Smp_35ppt_Blk,Adenine,15108192.035273531,35,0
240108_Smp_40ppt_A,Adenine,511306743.70048755,40,0
240108_Smp_40ppt_B,Adenine,782760888.2354221,40,0
240108_Smp_40ppt_Blk,Adenine,40929802.09292879,40,0
240108_Std_4uMStdsMix1InH2O_1,Adenine,NA,NA,4
240108_Std_4uMStdsMix1InH2O_2,Adenine,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Adenine,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Adenine,NA,NA,4
240108_Poo_Syn_Full1,Adenosine,200222851.35309532,NA,0
240108_Poo_Syn_Full2,Adenosine,209266765.6700184,NA,0
240108_Poo_Syn_Full3,Adenosine,204769640.93570173,NA,0
240108_Poo_Syn_Half1,Adenosine,206209470.39172453,NA,0
240108_Poo_Syn_Half2,Adenosine,205882556.92717928,NA,0
240108_Poo_Syn_Half3,Adenosine,205538231.54206127,NA,0
240108_Smp_25ppt_A,Adenosine,414606405.8785966,25,0
240108_Smp_25ppt_B,Adenosine,199207932.5398866,25,0
240108_Smp_25ppt_Blk,Adenosine,576072.3294238419,25,0
240108_Smp_30ppt_A,Adenosine,120174399.01888828,30,0
240108_Smp_30ppt_B,Adenosine,116382569.7801738,30,0
240108_Smp_30ppt_Blk,Adenosine,601242.0332665986,30,0
240108_Smp_35ppt_A,Adenosine,242763647.80540448,35,0
240108_Smp_35ppt_B,Adenosine,134930916.86950344,35,0
240108_Smp_35ppt_Blk,Adenosine,433188.6317266272,35,0
240108_Smp_40ppt_A,Adenosine,254029356.4615495,40,0
240108_Smp_40ppt_B,Adenosine,278283337.19714606,40,0
240108_Smp_40ppt_Blk,Adenosine,637364.7222213792,40,0
240108_Std_4uMStdsMix2InH2O_1,Adenosine,NA,NA,4
240108_Std_4uMStdsMix2InH2O_2,Adenosine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Adenosine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Adenosine,NA,NA,4
240108_Poo_Syn_Full1,Anserine,NA,NA,0
240108_Poo_Syn_Full2,Anserine,NA,NA,0
240108_Poo_Syn_Full3,Anserine,NA,NA,0
240108_Poo_Syn_Half1,Anserine,NA,NA,0
